lda_dominant_topic,docs_count,avg_sentiment,top_label
0,1542,0.1020913748378729,Negative
1,2709,0.33438918420081215,Neutral
2,4276,0.3333548409728719,Negative
3,6263,0.44266983873543037,Neutral
4,3954,0.5845825746079919,Positive
